Hike_ID,Staff_ID,Hike_Date,Previous_Salary,New_Salary,Reason,Location_ID
H0101,S0487,2024-07-15,96495,111271,Annual Review,L001
H0102,S0185,2021-05-06,143329,162839,Promotion,L005
H0103,S0286,2024-03-03,180439,208183,Cost of Living Adjustment,L005
H0104,S0293,2022-08-25,60319,68802,Annual Review,L002
H0105,S0425,2024-08-22,182493,212902,Annual Review,L003
H0106,S0176,2023-05-16,112285,119399,Cost of Living Adjustment,L005
H0107,S0231,2023-05-06,100422,106910,Performance Bonus,L005
H0108,S0269,2021-04-26,174925,201282,Annual Review,L002
H0109,S0212,2022-07-15,44006,49585,Performance Bonus,L005
H0110,S0303,2023-07-10,78051,89273,Cost of Living Adjustment,L004
H0111,S0069,2024-07-04,66762,72711,Performance Bonus,L004
H0112,S0243,2021-02-04,146863,161159,Cost of Living Adjustment,L003
H0113,S0393,2021-10-08,50654,54330,Annual Review,L002
H0114,S0148,2022-09-15,127820,141877,Annual Review,L003
H0115,S0489,2020-11-30,36358,39845,Performance Bonus,L003
H0116,S0113,2025-04-08,39818,43304,Performance Bonus,L001
H0117,S0253,2020-10-09,48369,51924,Cost of Living Adjustment,L001
H0118,S0170,2023-06-05,44182,51841,Performance Bonus,L002
H0119,S0440,2023-08-31,167770,182648,Promotion,L003
H0120,S0413,2023-11-15,31654,36839,Performance Bonus,L002
H0121,S0198,2021-07-18,30464,34887,Performance Bonus,L001
H0122,S0148,2022-06-22,160791,171144,Cost of Living Adjustment,L001
H0123,S0232,2022-03-15,188500,203494,Cost of Living Adjustment,L002
H0124,S0165,2025-01-10,83920,90565,Performance Bonus,L001
H0125,S0130,2022-05-22,95839,103154,Promotion,L005
H0126,S0448,2025-01-14,80088,87341,Cost of Living Adjustment,L004
H0127,S0418,2025-03-12,157344,172557,Annual Review,L005
H0128,S0352,2024-11-21,176541,197883,Cost of Living Adjustment,L002
H0129,S0127,2020-09-27,159313,176222,Performance Bonus,L004
H0130,S0201,2022-11-21,93163,109830,Cost of Living Adjustment,L002
H0131,S0437,2021-07-09,112555,128789,Promotion,L003
H0132,S0478,2023-01-02,171314,199335,Promotion,L005
H0133,S0252,2021-11-13,80656,89887,Promotion,L001
H0134,S0370,2024-04-17,91557,98747,Performance Bonus,L002
H0135,S0278,2022-06-20,157389,166309,Cost of Living Adjustment,L003
H0136,S0459,2024-08-29,59603,66624,Cost of Living Adjustment,L004
H0137,S0158,2020-05-10,187853,198422,Cost of Living Adjustment,L003
H0138,S0384,2023-07-11,109483,117001,Performance Bonus,L005
H0139,S0263,2022-01-18,152322,177888,Cost of Living Adjustment,L003
H0140,S0254,2022-03-02,141995,156040,Cost of Living Adjustment,L001
H0141,S0186,2022-10-12,51263,60923,Performance Bonus,L004
H0142,S0226,2024-01-06,94213,111311,Performance Bonus,L003
H0143,S0385,2023-09-18,151641,159582,Promotion,L004
H0144,S0077,2024-03-28,58824,69626,Cost of Living Adjustment,L005
H0145,S0484,2024-03-24,97857,110527,Annual Review,L003
H0146,S0326,2022-08-29,42446,48371,Performance Bonus,L003
H0147,S0245,2023-09-29,94695,108761,Performance Bonus,L003
H0148,S0258,2025-02-15,37844,40794,Annual Review,L003
H0149,S0096,2023-05-09,116145,131487,Annual Review,L005
H0150,S0181,2020-06-13,69991,80511,Promotion,L003
H0151,S0049,2022-01-30,51639,56183,Promotion,L001
H0152,S0304,2021-02-27,61851,67206,Promotion,L005
H0153,S0211,2023-12-25,70615,81551,Performance Bonus,L004
H0154,S0291,2023-05-19,173167,188730,Performance Bonus,L004
H0155,S0232,2025-02-02,124931,144991,Cost of Living Adjustment,L002
H0156,S0485,2024-08-02,88092,95432,Annual Review,L004
H0157,S0497,2022-01-14,131784,154227,Annual Review,L002
H0158,S0145,2025-04-17,95282,112628,Cost of Living Adjustment,L002
H0159,S0363,2024-10-30,42545,50984,Performance Bonus,L005
H0160,S0163,2024-09-21,128731,144498,Promotion,L001
H0161,S0382,2022-12-13,91065,106320,Promotion,L004
H0162,S0206,2024-07-06,71350,81220,Performance Bonus,L001
H0163,S0483,2023-04-29,167036,192455,Cost of Living Adjustment,L001
H0164,S0124,2021-12-16,177532,187594,Cost of Living Adjustment,L001
H0165,S0227,2022-10-01,145060,153159,Cost of Living Adjustment,L001
H0166,S0242,2024-06-29,39824,44966,Annual Review,L005
H0167,S0159,2021-02-22,74924,86739,Promotion,L001
H0168,S0096,2020-12-16,164462,189035,Annual Review,L002
H0169,S0158,2021-09-15,95574,114684,Promotion,L003
H0170,S0162,2020-06-25,137849,160447,Promotion,L005
H0171,S0250,2022-03-17,38620,41227,Promotion,L002
H0172,S0499,2025-03-27,166255,183073,Performance Bonus,L005
H0173,S0456,2020-12-28,67396,76155,Annual Review,L001
H0174,S0176,2022-02-15,76868,81789,Promotion,L004
H0175,S0313,2023-04-18,95956,105140,Annual Review,L002
H0176,S0101,2022-05-05,129182,146101,Annual Review,L004
H0177,S0428,2021-03-25,131455,144483,Annual Review,L002
H0178,S0253,2024-02-04,54097,62581,Promotion,L002
H0179,S0302,2024-01-16,169123,199303,Performance Bonus,L002
H0180,S0381,2021-10-16,139070,164756,Cost of Living Adjustment,L005
H0181,S0041,2023-01-23,42696,47318,Cost of Living Adjustment,L002
H0182,S0307,2024-04-21,174200,184758,Performance Bonus,L005
H0183,S0164,2022-12-10,114074,128434,Cost of Living Adjustment,L004
H0184,S0053,2021-03-25,26224,30362,Annual Review,L002
H0185,S0225,2021-02-23,51692,58123,Annual Review,L004
H0186,S0076,2024-11-08,35066,39069,Annual Review,L002
H0187,S0281,2021-05-02,46728,53996,Cost of Living Adjustment,L001
H0188,S0445,2022-05-29,27446,30293,Cost of Living Adjustment,L001
H0189,S0132,2024-01-21,152316,161846,Performance Bonus,L005
H0190,S0024,2023-05-10,35021,38314,Annual Review,L001
H0191,S0017,2023-02-26,121119,143815,Annual Review,L001
H0192,S0319,2022-12-31,43304,50425,Annual Review,L003
H0193,S0013,2024-04-30,40175,47365,Cost of Living Adjustment,L002
H0194,S0272,2021-02-12,99413,110633,Performance Bonus,L003
H0195,S0441,2021-11-26,77691,83889,Promotion,L003
H0196,S0019,2024-08-25,114561,136576,Annual Review,L005
H0197,S0319,2022-08-24,95008,107710,Promotion,L005
H0198,S0474,2023-10-23,25667,28251,Annual Review,L005
H0199,S0123,2024-01-07,162449,192013,Performance Bonus,L001
H0200,S0202,2020-07-02,96934,109888,Performance Bonus,L003
H0201,S0398,2020-10-26,122356,140732,Promotion,L003
H0202,S0282,2021-07-05,117944,125388,Promotion,L005
H0203,S0345,2021-11-01,164672,181776,Annual Review,L003
H0204,S0356,2020-08-25,134412,142126,Performance Bonus,L002
H0205,S0178,2020-11-29,116832,133264,Cost of Living Adjustment,L004
H0206,S0172,2021-11-02,26774,31265,Performance Bonus,L001
H0207,S0095,2020-08-07,28843,33772,Cost of Living Adjustment,L005
H0208,S0331,2021-12-08,131734,147996,Performance Bonus,L004
H0209,S0377,2025-02-15,121034,135531,Performance Bonus,L001
H0210,S0336,2020-07-13,67113,74884,Promotion,L001
H0211,S0128,2024-05-17,36739,41166,Promotion,L005
H0212,S0183,2023-11-16,142848,158838,Cost of Living Adjustment,L004
H0213,S0273,2023-08-23,42200,49350,Annual Review,L004
H0214,S0266,2020-06-18,124570,139103,Promotion,L005
H0215,S0202,2022-02-08,159917,180343,Annual Review,L003
H0216,S0328,2021-12-11,116425,128753,Annual Review,L003
H0217,S0097,2025-01-15,125029,138386,Cost of Living Adjustment,L001
H0218,S0351,2025-04-22,140900,156174,Performance Bonus,L003
H0219,S0087,2025-02-13,135185,161743,Performance Bonus,L005
H0220,S0202,2022-11-20,42527,45147,Promotion,L004
H0221,S0297,2024-12-11,154337,165561,Cost of Living Adjustment,L004
H0222,S0469,2021-05-25,65579,74310,Performance Bonus,L005
H0223,S0123,2024-04-27,169831,180523,Annual Review,L004
H0224,S0451,2021-07-24,26180,29645,Cost of Living Adjustment,L004
H0225,S0410,2024-02-23,52760,57783,Performance Bonus,L002
H0226,S0050,2023-09-20,116420,131705,Performance Bonus,L001
H0227,S0282,2021-11-11,138617,162556,Cost of Living Adjustment,L002
H0228,S0147,2022-01-12,43279,49152,Promotion,L001
H0229,S0031,2021-12-19,114804,123068,Promotion,L003
H0230,S0220,2020-12-08,140019,153920,Cost of Living Adjustment,L003
H0231,S0419,2020-06-27,96759,108107,Performance Bonus,L001
H0232,S0495,2020-07-05,101898,107052,Cost of Living Adjustment,L005
H0233,S0157,2023-06-03,35447,41882,Cost of Living Adjustment,L001
H0234,S0057,2022-05-30,176032,194541,Performance Bonus,L005
H0235,S0448,2021-08-27,75187,88274,Annual Review,L005
H0236,S0013,2023-05-26,168839,188098,Annual Review,L003
H0237,S0007,2021-06-15,28386,30369,Annual Review,L004
H0238,S0421,2022-02-09,115381,136537,Performance Bonus,L001
H0239,S0183,2022-12-20,103063,118328,Annual Review,L003
H0240,S0247,2024-02-21,121852,138086,Annual Review,L003
H0241,S0067,2023-04-16,78644,89369,Cost of Living Adjustment,L003
H0242,S0475,2022-06-03,129860,147185,Performance Bonus,L002
H0243,S0298,2020-12-25,181983,206470,Cost of Living Adjustment,L004
H0244,S0356,2023-10-16,170794,186698,Cost of Living Adjustment,L004
H0245,S0007,2021-01-25,31046,34476,Cost of Living Adjustment,L002
H0246,S0010,2022-07-17,172293,197778,Performance Bonus,L004
H0247,S0191,2020-10-08,40340,43018,Cost of Living Adjustment,L005
H0248,S0295,2022-08-24,124457,143740,Promotion,L001
H0249,S0029,2021-02-24,169355,199381,Annual Review,L004
H0250,S0174,2022-06-22,106818,126218,Performance Bonus,L004
H0251,S0091,2023-08-21,129355,149590,Annual Review,L001
H0252,S0111,2025-04-24,122474,133108,Promotion,L005
H0253,S0296,2021-12-02,157077,174499,Performance Bonus,L002
H0254,S0461,2022-10-22,58924,64506,Performance Bonus,L004
H0255,S0483,2020-07-13,85667,98522,Performance Bonus,L002
H0256,S0401,2022-06-23,111465,132919,Cost of Living Adjustment,L003
H0257,S0094,2024-04-02,50757,57375,Annual Review,L004
H0258,S0435,2022-08-31,85391,93220,Promotion,L002
H0259,S0363,2022-01-14,30837,33196,Annual Review,L001
H0260,S0254,2022-11-16,131741,155417,Annual Review,L002
H0261,S0447,2023-08-27,176412,206085,Annual Review,L005
H0262,S0323,2023-10-01,136876,151525,Promotion,L005
H0263,S0194,2022-02-03,175432,197787,Annual Review,L003
H0264,S0319,2022-11-16,140635,148915,Cost of Living Adjustment,L003
H0265,S0449,2021-09-09,67879,76822,Annual Review,L003
H0266,S0398,2023-06-13,41165,46507,Cost of Living Adjustment,L001
H0267,S0092,2021-02-23,101744,109031,Performance Bonus,L001
H0268,S0025,2024-10-23,67038,79636,Annual Review,L002
H0269,S0236,2025-03-04,54190,58984,Annual Review,L003
H0270,S0151,2020-10-29,38836,43277,Cost of Living Adjustment,L003
H0271,S0088,2021-06-03,30597,35776,Promotion,L004
H0272,S0333,2024-09-09,132636,141673,Performance Bonus,L002
H0273,S0349,2024-08-30,174344,190235,Cost of Living Adjustment,L001
H0274,S0336,2021-04-30,42959,49422,Cost of Living Adjustment,L004
H0275,S0469,2022-07-13,94654,109437,Cost of Living Adjustment,L005
H0276,S0170,2020-12-19,141718,153204,Promotion,L001
H0277,S0286,2020-05-28,35435,39017,Performance Bonus,L004
H0278,S0283,2022-10-23,139009,157302,Cost of Living Adjustment,L001
H0279,S0432,2023-04-22,47032,55393,Performance Bonus,L005
H0280,S0216,2022-05-21,32552,38332,Performance Bonus,L003
H0281,S0174,2022-08-16,183573,203382,Promotion,L003
H0282,S0044,2022-02-09,72768,76604,Annual Review,L004
H0283,S0131,2022-05-21,184404,196764,Cost of Living Adjustment,L004
H0284,S0485,2020-11-27,186313,213450,Promotion,L003
H0285,S0005,2022-03-06,179413,194274,Cost of Living Adjustment,L005
H0286,S0417,2023-03-25,110397,121590,Performance Bonus,L005
H0287,S0328,2023-12-08,168572,184798,Cost of Living Adjustment,L005
H0288,S0236,2024-03-07,183846,203268,Annual Review,L002
H0289,S0242,2021-05-03,138346,155841,Promotion,L001
H0290,S0470,2020-10-12,96714,111628,Performance Bonus,L002
H0291,S0073,2020-12-19,187815,207213,Cost of Living Adjustment,L005
H0292,S0163,2021-09-10,150069,179146,Cost of Living Adjustment,L003
H0293,S0449,2023-01-19,178125,196292,Annual Review,L004
H0294,S0351,2021-06-26,71073,80525,Cost of Living Adjustment,L004
H0295,S0070,2022-01-06,50361,56244,Promotion,L004
H0296,S0222,2023-11-18,54174,58783,Performance Bonus,L002
H0297,S0378,2021-11-29,178430,187801,Performance Bonus,L003
H0298,S0063,2023-01-03,76479,88617,Performance Bonus,L002
H0299,S0123,2025-03-19,79860,94136,Promotion,L003
H0300,S0006,2021-10-15,42265,44488,Cost of Living Adjustment,L002
H0301,S0448,2024-12-27,95260,100291,Cost of Living Adjustment,L005
H0302,S0078,2021-08-16,67638,78426,Performance Bonus,L003
H0303,S0339,2021-02-18,139876,162354,Performance Bonus,L003
H0304,S0349,2024-04-04,103808,114105,Annual Review,L002
H0305,S0195,2021-02-20,39467,45146,Cost of Living Adjustment,L001
H0306,S0181,2022-05-06,32286,36983,Cost of Living Adjustment,L001
H0307,S0036,2021-02-22,33320,35856,Performance Bonus,L002
H0308,S0149,2023-01-13,140200,157915,Promotion,L003
H0309,S0494,2021-07-14,68151,72171,Performance Bonus,L003
H0310,S0364,2023-02-06,85069,92523,Performance Bonus,L003
H0311,S0363,2022-08-15,165970,191113,Promotion,L003
H0312,S0085,2020-07-09,125788,140343,Promotion,L005
H0313,S0286,2024-04-05,116356,135695,Cost of Living Adjustment,L004
H0314,S0466,2022-12-04,169880,202225,Performance Bonus,L005
H0315,S0181,2024-06-14,45693,52072,Annual Review,L004
H0316,S0406,2020-08-10,46773,54163,Promotion,L002
H0317,S0074,2021-06-16,159794,184056,Promotion,L004
H0318,S0054,2021-01-17,62832,73005,Annual Review,L002
H0319,S0236,2023-10-11,107896,121795,Promotion,L001
H0320,S0229,2023-11-20,52231,56781,Performance Bonus,L002
H0321,S0420,2022-10-10,56238,60931,Performance Bonus,L004
H0322,S0119,2023-12-08,81140,94424,Promotion,L001
H0323,S0113,2024-05-16,39239,42035,Cost of Living Adjustment,L003
H0324,S0242,2021-05-16,173854,183009,Cost of Living Adjustment,L001
H0325,S0170,2025-03-01,110032,129296,Annual Review,L001
H0326,S0210,2020-10-15,123696,140115,Performance Bonus,L004
H0327,S0367,2022-01-28,88068,94377,Promotion,L003
H0328,S0187,2023-07-15,148140,163107,Promotion,L002
H0329,S0486,2023-02-06,49986,59616,Cost of Living Adjustment,L003
H0330,S0112,2022-07-19,50536,60506,Performance Bonus,L001
H0331,S0427,2023-05-31,39158,42270,Performance Bonus,L004
H0332,S0372,2021-10-29,94383,104139,Performance Bonus,L003
H0333,S0055,2024-06-17,42545,49923,Performance Bonus,L003
H0334,S0079,2021-12-14,184771,195006,Cost of Living Adjustment,L002
H0335,S0314,2023-07-08,189337,225246,Cost of Living Adjustment,L001
H0336,S0113,2022-05-28,85789,101549,Cost of Living Adjustment,L004
H0337,S0028,2021-07-07,36543,38500,Promotion,L002
H0338,S0151,2021-08-06,68318,75707,Cost of Living Adjustment,L003
H0339,S0144,2021-05-01,181338,210459,Promotion,L005
H0340,S0095,2024-01-31,176132,193070,Promotion,L003
H0341,S0453,2024-03-18,99598,108768,Annual Review,L001
H0342,S0071,2022-10-25,74411,79851,Cost of Living Adjustment,L004
H0343,S0182,2020-05-04,109865,124489,Promotion,L003
H0344,S0188,2020-12-20,188576,202166,Cost of Living Adjustment,L001
H0345,S0120,2022-11-10,134476,141976,Promotion,L005
H0346,S0403,2022-04-26,170990,194135,Cost of Living Adjustment,L004
H0347,S0096,2024-06-15,51941,59954,Cost of Living Adjustment,L005
H0348,S0480,2025-02-15,183154,208890,Cost of Living Adjustment,L005
H0349,S0072,2023-12-25,55662,60630,Promotion,L003
H0350,S0039,2023-06-10,96142,101224,Annual Review,L005
H0351,S0182,2023-07-24,41359,48916,Promotion,L002
H0352,S0134,2022-12-27,45771,49611,Cost of Living Adjustment,L003
H0353,S0058,2021-07-21,97103,115016,Annual Review,L004
H0354,S0012,2022-06-29,47797,50930,Annual Review,L005
H0355,S0282,2022-03-08,42056,47391,Promotion,L005
H0356,S0374,2021-08-20,59663,63617,Cost of Living Adjustment,L004
H0357,S0394,2021-03-08,38404,44703,Cost of Living Adjustment,L002
H0358,S0418,2024-12-25,86611,94418,Cost of Living Adjustment,L004
H0359,S0131,2024-03-27,119797,135485,Promotion,L001
H0360,S0165,2020-06-23,121011,128522,Performance Bonus,L002
H0361,S0359,2024-04-19,47973,53536,Promotion,L005
H0362,S0498,2023-08-29,181214,192342,Performance Bonus,L002
H0363,S0347,2021-03-31,123614,133483,Cost of Living Adjustment,L003
H0364,S0467,2022-03-11,89141,99922,Cost of Living Adjustment,L002
H0365,S0486,2021-02-28,73219,80263,Promotion,L003
H0366,S0262,2023-06-22,62808,75108,Promotion,L001
H0367,S0312,2023-06-05,105245,122471,Performance Bonus,L005
H0368,S0125,2024-11-23,47353,51193,Cost of Living Adjustment,L003
H0369,S0070,2021-08-05,47923,56721,Performance Bonus,L005
H0370,S0020,2024-06-26,107570,126279,Cost of Living Adjustment,L005
H0371,S0427,2023-01-10,114054,123856,Performance Bonus,L004
H0372,S0084,2022-11-18,180324,208056,Performance Bonus,L001
H0373,S0350,2021-01-05,122357,143090,Cost of Living Adjustment,L005
H0374,S0415,2023-08-25,25725,29303,Promotion,L005
H0375,S0033,2025-01-30,147459,163579,Promotion,L001
H0376,S0411,2024-09-11,63069,72026,Cost of Living Adjustment,L001
H0377,S0453,2023-09-03,71903,82665,Performance Bonus,L001
H0378,S0275,2020-06-13,45652,50158,Performance Bonus,L005
H0379,S0066,2021-10-27,161715,186924,Cost of Living Adjustment,L001
H0380,S0187,2023-10-28,139347,153690,Promotion,L004
H0381,S0076,2022-10-05,94478,112192,Cost of Living Adjustment,L001
H0382,S0472,2022-09-15,75001,84721,Annual Review,L001
H0383,S0462,2020-11-14,35927,40351,Annual Review,L002
H0384,S0150,2020-11-28,153214,163748,Cost of Living Adjustment,L003
H0385,S0336,2024-11-15,100841,112207,Promotion,L004
H0386,S0252,2024-11-20,65203,71684,Performance Bonus,L004
H0387,S0433,2020-10-27,81349,96803,Cost of Living Adjustment,L003
H0388,S0432,2020-08-28,88464,99865,Cost of Living Adjustment,L001
H0389,S0356,2024-01-24,62555,72624,Performance Bonus,L003
H0390,S0481,2024-05-13,93540,107070,Annual Review,L003
H0391,S0316,2022-10-07,110031,122713,Promotion,L003
H0392,S0074,2023-07-04,155190,181268,Cost of Living Adjustment,L004
H0393,S0116,2024-12-23,80777,84889,Promotion,L003
H0394,S0028,2024-02-03,55478,61497,Cost of Living Adjustment,L004
H0395,S0185,2023-10-06,133589,147167,Performance Bonus,L005
H0396,S0339,2024-05-05,46687,51243,Cost of Living Adjustment,L003
H0397,S0476,2021-04-28,67494,73557,Performance Bonus,L004
H0398,S0201,2022-04-10,76556,87643,Promotion,L005
H0399,S0431,2022-07-26,162127,193512,Annual Review,L001
H0400,S0035,2021-01-31,119934,142650,Promotion,L005
H0401,S0433,2022-02-18,82020,93924,Promotion,L003
H0402,S0361,2023-10-04,28204,33063,Promotion,L003
H0403,S0211,2021-04-11,54411,61598,Promotion,L003
H0404,S0496,2024-09-01,102147,117380,Annual Review,L005
H0405,S0335,2022-02-01,53126,56743,Performance Bonus,L004
H0406,S0354,2023-01-22,31761,33935,Promotion,L004
H0407,S0175,2023-05-04,126624,136222,Annual Review,L005
H0408,S0385,2025-04-05,117066,132187,Promotion,L005
H0409,S0188,2024-07-12,97163,107018,Cost of Living Adjustment,L005
H0410,S0263,2023-05-24,170987,202673,Annual Review,L005
H0411,S0344,2022-10-07,73932,77900,Promotion,L001
H0412,S0371,2024-11-07,102761,111953,Annual Review,L002
H0413,S0242,2024-10-11,103407,112053,Cost of Living Adjustment,L001
H0414,S0387,2021-02-25,164092,182526,Promotion,L005
H0415,S0292,2025-01-11,67621,78003,Promotion,L004
H0416,S0258,2021-11-19,43147,45986,Promotion,L001
H0417,S0051,2022-12-21,189199,215158,Cost of Living Adjustment,L001
H0418,S0157,2024-01-05,182732,196040,Annual Review,L002
H0419,S0355,2023-06-13,113149,120504,Promotion,L001
H0420,S0403,2025-02-04,45798,51372,Annual Review,L003
H0421,S0323,2022-01-29,73187,78814,Annual Review,L003
H0422,S0293,2022-04-14,134361,144240,Annual Review,L004
H0423,S0307,2023-07-27,98768,112647,Promotion,L002
H0424,S0433,2020-06-01,183200,201234,Cost of Living Adjustment,L001
H0425,S0181,2020-12-23,105926,111245,Promotion,L005
H0426,S0397,2022-03-07,46076,50475,Promotion,L005
H0427,S0106,2025-01-09,168260,186787,Annual Review,L001
H0428,S0273,2022-01-14,89745,106916,Cost of Living Adjustment,L003
H0429,S0189,2024-04-04,181955,192951,Promotion,L001
H0430,S0353,2023-04-25,39485,44790,Performance Bonus,L004
H0431,S0101,2024-12-18,30005,35949,Promotion,L002
H0432,S0244,2020-05-15,118040,128818,Annual Review,L004
H0433,S0141,2024-01-05,132548,147659,Promotion,L001
H0434,S0333,2022-08-22,151940,176658,Promotion,L002
H0435,S0250,2022-04-11,55636,59254,Annual Review,L001
