Room_ID,Location_ID,Room_Type,Capacity,Admission_ID,Occupancy_Status,Last_Cleaned
R00101,L001,Semi-Private,4,ADM02805,Vacant,2024-11-18
R00102,L003,Private,1,ADM06594,Occupied,2025-01-02
R00103,L004,Semi-Private,2,ADM01443,Vacant,2024-08-18
R00104,L002,ICU,2,,Vacant,2025-04-16
R00105,L003,Private,4,ADM06735,Occupied,2024-08-03
R00106,L003,General,4,ADM07019,Occupied,2025-02-28
R00107,L002,ICU,2,ADM01902,Occupied,2024-06-21
R00108,L001,General,1,ADM06888,Vacant,2025-02-12
R00109,L005,Private,4,ADM02925,Occupied,2024-07-24
R00110,L004,General,4,ADM00499,Vacant,2024-12-28
R00111,L004,General,2,ADM02355,Occupied,2025-03-04
R00112,L004,Semi-Private,4,ADM03848,Occupied,2024-10-09
R00113,L005,ICU,4,,Occupied,2025-01-18
R00114,L005,Semi-Private,4,,Occupied,2025-03-02
R00115,L002,Semi-Private,4,ADM00330,Occupied,2025-03-06
R00116,L001,Private,4,ADM05041,Occupied,2024-10-26
R00117,L005,Private,4,,Vacant,2024-09-04
R00118,L002,General,2,ADM00368,Vacant,2025-01-05
R00119,L003,Private,4,ADM08590,Occupied,2024-07-22
R00120,L005,ICU,2,ADM09321,Occupied,2024-07-01
R00121,L002,ICU,2,ADM05878,Vacant,2024-05-25
R00122,L005,ICU,1,,Vacant,2024-12-30
R00123,L001,Private,1,ADM04412,Occupied,2025-02-21
R00124,L001,Private,2,ADM07823,Occupied,2025-03-07
R00125,L005,ICU,2,ADM00794,Vacant,2024-12-01
R00126,L004,Private,2,ADM08254,Occupied,2024-12-27
R00127,L002,Semi-Private,4,ADM06949,Occupied,2024-05-16
R00128,L003,Semi-Private,1,ADM07958,Occupied,2024-10-24
R00129,L004,Private,2,ADM00174,Occupied,2024-09-26
R00130,L002,General,4,ADM04048,Occupied,2025-01-22
R00131,L001,ICU,4,ADM00932,Occupied,2024-05-06
R00132,L002,Semi-Private,2,ADM02864,Occupied,2024-08-21
R00133,L003,General,1,,Vacant,2025-02-09
R00134,L001,ICU,1,,Occupied,2024-12-31
R00135,L005,ICU,2,ADM04480,Occupied,2024-09-22
R00136,L003,General,4,,Occupied,2024-08-12
R00137,L003,ICU,2,ADM01822,Occupied,2024-10-24
R00138,L005,ICU,4,ADM04808,Vacant,2024-06-16
R00139,L002,General,4,ADM06592,Occupied,2025-03-10
R00140,L003,General,4,ADM02924,Occupied,2024-06-07
R00141,L002,General,1,ADM00833,Occupied,2024-09-09
R00142,L001,Private,1,,Occupied,2025-02-17
R00143,L002,Private,4,ADM06319,Vacant,2024-08-10
R00144,L002,Semi-Private,2,ADM09209,Occupied,2024-10-14
R00145,L004,Semi-Private,4,ADM06573,Occupied,2025-02-16
R00146,L002,Private,2,ADM02406,Occupied,2024-10-25
R00147,L002,General,4,ADM05280,Vacant,2025-03-14
R00148,L005,General,4,ADM08740,Occupied,2024-05-07
R00149,L003,General,1,ADM01658,Occupied,2024-04-28
R00150,L004,ICU,1,ADM00389,Vacant,2024-07-27
R00151,L001,ICU,2,ADM08629,Occupied,2024-06-02
R00152,L003,Private,2,ADM08474,Occupied,2025-02-14
R00153,L003,Private,2,,Vacant,2024-11-09
R00154,L003,Private,4,ADM02795,Vacant,2024-06-13
R00155,L002,General,1,,Occupied,2024-12-01
R00156,L002,General,1,ADM02744,Vacant,2024-05-27
R00157,L003,Semi-Private,2,ADM04455,Vacant,2024-09-11
R00158,L001,General,4,ADM01496,Occupied,2025-02-10
R00159,L001,Semi-Private,2,ADM06919,Vacant,2025-03-14
R00160,L005,ICU,2,ADM06507,Occupied,2025-03-23
R00161,L002,Private,2,ADM07380,Occupied,2024-11-07
R00162,L003,Private,2,ADM03529,Vacant,2024-11-18
R00163,L005,Private,2,,Vacant,2024-12-15
R00164,L001,General,2,ADM07511,Occupied,2024-11-16
R00165,L005,ICU,4,ADM01108,Occupied,2024-12-06
R00166,L001,General,4,ADM04139,Vacant,2024-07-12
R00167,L003,Private,4,,Occupied,2024-11-08
R00168,L004,Private,2,ADM08567,Occupied,2024-05-28
R00169,L004,Private,4,ADM09907,Vacant,2025-03-09
R00170,L004,General,2,ADM05478,Vacant,2024-08-21
R00171,L005,Private,2,,Occupied,2024-09-06
R00172,L002,General,1,ADM03733,Vacant,2025-03-29
R00173,L004,Private,2,ADM09132,Occupied,2024-10-01
R00174,L002,Semi-Private,4,ADM09387,Occupied,2024-12-14
R00175,L004,Private,1,ADM06611,Occupied,2025-04-14
R00176,L002,ICU,4,ADM05462,Occupied,2024-10-24
R00177,L005,ICU,2,ADM09084,Occupied,2024-12-12
R00178,L004,ICU,2,ADM02569,Occupied,2024-06-20
R00179,L005,Private,4,ADM04272,Occupied,2025-01-13
R00180,L004,General,4,ADM07231,Occupied,2024-09-11
R00181,L002,General,1,ADM04326,Occupied,2024-10-09
R00182,L003,ICU,4,ADM04256,Occupied,2024-06-02
R00183,L002,ICU,2,ADM03942,Occupied,2024-11-19
R00184,L001,Semi-Private,1,ADM08985,Occupied,2024-06-19
R00185,L005,Semi-Private,4,ADM00679,Occupied,2024-12-06
R00186,L003,ICU,4,ADM08674,Occupied,2025-02-25
R00187,L002,ICU,4,ADM04391,Occupied,2024-11-11
R00188,L002,Semi-Private,4,ADM03573,Occupied,2024-12-17
R00189,L003,Semi-Private,4,ADM06630,Occupied,2024-06-04
R00190,L002,Private,1,,Occupied,2024-08-23
R00191,L005,ICU,4,ADM09204,Occupied,2025-01-28
R00192,L005,ICU,1,ADM07904,Vacant,2024-08-16
R00193,L002,General,4,ADM07569,Occupied,2024-10-11
R00194,L004,Semi-Private,2,ADM07310,Occupied,2025-03-14
R00195,L001,General,1,ADM03544,Occupied,2024-11-18
R00196,L001,ICU,4,ADM05379,Vacant,2024-12-29
R00197,L001,Private,1,ADM09156,Occupied,2024-08-30
R00198,L001,ICU,4,ADM07950,Occupied,2025-01-06
R00199,L004,Private,2,ADM00578,Occupied,2024-09-06
R00200,L005,General,1,ADM03566,Occupied,2025-04-20
R00201,L002,General,1,ADM05127,Occupied,2025-02-25
R00202,L001,Semi-Private,4,ADM00397,Occupied,2025-04-08
R00203,L005,General,4,ADM07698,Occupied,2024-11-26
R00204,L004,General,4,ADM02026,Occupied,2024-05-27
R00205,L005,ICU,1,ADM00182,Occupied,2025-03-26
R00206,L005,ICU,1,ADM07301,Vacant,2024-12-28
R00207,L001,ICU,4,,Occupied,2024-06-14
R00208,L005,Private,1,ADM00655,Occupied,2025-03-25
R00209,L002,Private,4,ADM08593,Occupied,2024-11-07
R00210,L001,Private,4,ADM04531,Occupied,2024-09-05
R00211,L004,Private,4,ADM00500,Occupied,2024-10-23
R00212,L005,Semi-Private,2,ADM07878,Occupied,2024-05-20
R00213,L004,Semi-Private,2,ADM07015,Vacant,2024-11-05
R00214,L003,Private,1,ADM00429,Occupied,2024-08-03
R00215,L002,ICU,2,ADM09963,Occupied,2024-08-30
R00216,L003,Semi-Private,4,ADM02419,Occupied,2024-09-11
R00217,L001,ICU,4,ADM04051,Occupied,2024-06-06
R00218,L001,Private,4,ADM09600,Occupied,2024-12-23
R00219,L003,Semi-Private,4,ADM07446,Occupied,2024-05-06
R00220,L003,General,2,,Occupied,2024-07-19
R00221,L004,ICU,1,ADM09446,Occupied,2024-11-30
R00222,L004,General,1,ADM08758,Vacant,2024-12-02
R00223,L005,ICU,2,ADM09348,Occupied,2025-03-03
R00224,L005,General,1,,Occupied,2024-11-06
R00225,L002,General,4,ADM00071,Occupied,2025-02-12
R00226,L004,ICU,1,ADM09027,Occupied,2024-12-31
R00227,L003,ICU,2,ADM05511,Occupied,2024-04-27
R00228,L002,Private,4,ADM00916,Occupied,2025-03-14
R00229,L005,Private,4,ADM03073,Occupied,2024-11-20
R00230,L005,General,1,ADM06666,Occupied,2025-01-25
R00231,L002,General,1,,Occupied,2024-09-19
R00232,L004,Semi-Private,4,ADM00509,Occupied,2024-07-22
R00233,L001,Private,2,,Occupied,2024-12-15
R00234,L003,ICU,2,ADM01769,Vacant,2024-07-27
R00235,L002,Private,2,,Occupied,2025-01-07
R00236,L004,Semi-Private,4,ADM02086,Occupied,2024-06-15
R00237,L004,Private,4,ADM01206,Occupied,2024-06-04
R00238,L005,ICU,2,ADM07532,Occupied,2024-07-19
R00239,L005,ICU,2,ADM07560,Vacant,2024-05-11
R00240,L004,Semi-Private,1,ADM08393,Occupied,2025-01-27
R00241,L002,Private,1,ADM02009,Occupied,2025-02-23
R00242,L002,Private,1,ADM07621,Occupied,2025-03-19
R00243,L002,Semi-Private,4,,Occupied,2024-07-17
R00244,L001,General,2,ADM00158,Occupied,2025-02-16
R00245,L002,General,4,ADM06068,Vacant,2024-09-05
R00246,L004,General,4,,Vacant,2024-11-09
R00247,L004,ICU,1,ADM04439,Occupied,2024-10-15
R00248,L003,General,1,ADM09635,Occupied,2025-03-19
R00249,L005,General,1,,Occupied,2025-04-10
R00250,L004,Private,1,ADM00060,Occupied,2024-12-06
R00251,L004,General,2,,Occupied,2024-09-12
R00252,L002,Private,4,ADM06069,Occupied,2024-08-14
R00253,L003,Semi-Private,1,,Occupied,2024-06-21
R00254,L003,Semi-Private,2,ADM07984,Occupied,2024-08-26
R00255,L003,Private,2,ADM08792,Vacant,2024-08-20
R00256,L005,General,4,ADM00183,Occupied,2025-01-07
R00257,L004,General,4,,Occupied,2024-12-25
R00258,L003,Private,1,,Occupied,2024-07-20
R00259,L003,Private,4,ADM02513,Occupied,2024-07-30
R00260,L004,ICU,2,ADM05522,Vacant,2025-01-02
R00261,L001,Semi-Private,4,ADM04742,Vacant,2024-12-17
R00262,L005,General,2,ADM06562,Occupied,2024-06-28
R00263,L004,Semi-Private,4,ADM03826,Occupied,2024-05-05
R00264,L005,ICU,2,ADM08234,Occupied,2024-05-31
R00265,L004,General,2,ADM06078,Occupied,2024-05-12
R00266,L003,Private,4,ADM04469,Occupied,2025-04-24
R00267,L001,General,2,ADM02161,Occupied,2025-02-26
R00268,L002,General,2,ADM07032,Occupied,2024-10-24
R00269,L002,Semi-Private,4,ADM09997,Occupied,2025-04-17
R00270,L004,Private,1,ADM02744,Occupied,2025-02-06
R00271,L003,General,4,ADM05678,Occupied,2025-04-03
R00272,L001,General,4,,Occupied,2024-07-13
R00273,L003,Semi-Private,2,,Occupied,2024-06-12
R00274,L003,Semi-Private,1,ADM07871,Occupied,2024-11-30
R00275,L001,General,2,ADM03014,Vacant,2025-03-02
R00276,L001,ICU,4,ADM07227,Occupied,2024-07-20
R00277,L003,General,2,ADM06325,Vacant,2024-10-10
R00278,L004,Semi-Private,1,ADM04299,Occupied,2024-09-19
R00279,L002,Semi-Private,1,,Occupied,2025-01-18
R00280,L004,Semi-Private,4,ADM00597,Occupied,2024-05-31
R00281,L004,General,1,ADM06483,Occupied,2024-06-07
R00282,L005,Semi-Private,1,ADM01242,Occupied,2024-07-23
R00283,L003,Semi-Private,4,ADM02266,Occupied,2024-05-01
R00284,L003,Semi-Private,4,ADM09582,Vacant,2024-08-07
R00285,L003,Private,2,ADM08698,Occupied,2024-08-31
R00286,L002,ICU,1,ADM06774,Occupied,2024-08-07
R00287,L001,General,4,ADM04410,Occupied,2024-06-11
R00288,L003,General,1,,Vacant,2024-05-20
R00289,L003,Private,4,ADM08745,Occupied,2025-04-14
R00290,L005,General,2,ADM09946,Occupied,2024-08-05
R00291,L001,ICU,4,,Occupied,2024-10-23
R00292,L002,General,1,ADM06161,Occupied,2024-11-14
R00293,L002,General,4,,Occupied,2024-12-22
R00294,L002,Semi-Private,1,ADM07709,Vacant,2025-04-08
R00295,L004,General,1,ADM06437,Occupied,2024-07-14
R00296,L003,Semi-Private,1,,Occupied,2024-11-23
R00297,L001,ICU,2,ADM06879,Occupied,2025-01-25
R00298,L003,Private,4,ADM01549,Occupied,2025-03-07
R00299,L004,Semi-Private,2,ADM02379,Occupied,2024-07-05
R00300,L002,General,1,ADM02282,Occupied,2024-09-03
R00301,L002,Semi-Private,4,,Occupied,2025-03-10
R00302,L001,Private,2,ADM02154,Occupied,2024-11-09
R00303,L003,Semi-Private,2,ADM05275,Occupied,2025-02-05
R00304,L004,General,2,ADM06675,Occupied,2024-09-21
R00305,L002,ICU,1,ADM01287,Occupied,2025-01-02
R00306,L004,Semi-Private,2,ADM03414,Vacant,2024-08-12
R00307,L001,Private,2,ADM09445,Vacant,2024-07-04
R00308,L005,Private,2,ADM02368,Occupied,2024-07-22
R00309,L001,General,2,ADM04858,Occupied,2024-07-20
R00310,L002,General,4,ADM00660,Vacant,2024-09-18
R00311,L004,Private,2,ADM01971,Vacant,2025-01-23
R00312,L001,ICU,4,ADM02901,Occupied,2024-09-01
R00313,L004,Semi-Private,4,ADM00847,Occupied,2024-11-04
R00314,L003,General,1,ADM05981,Occupied,2024-10-14
R00315,L004,General,4,,Occupied,2024-04-29
R00316,L002,General,1,ADM07400,Occupied,2024-04-25
R00317,L003,General,1,ADM09323,Occupied,2024-09-21
R00318,L002,ICU,2,ADM01960,Occupied,2025-02-23
R00319,L005,Semi-Private,4,ADM02116,Occupied,2024-06-05
R00320,L001,Semi-Private,2,ADM00477,Occupied,2024-06-15
R00321,L001,Private,2,ADM06555,Occupied,2025-03-24
R00322,L003,General,4,ADM04555,Occupied,2024-11-10
R00323,L003,Semi-Private,1,ADM09550,Occupied,2024-06-29
R00324,L004,ICU,1,ADM01879,Occupied,2024-08-20
R00325,L004,General,4,ADM08717,Occupied,2024-07-21
R00326,L003,Private,4,ADM03386,Occupied,2025-04-22
R00327,L003,Private,1,ADM04314,Occupied,2025-04-16
R00328,L004,Semi-Private,1,ADM01582,Occupied,2025-01-14
R00329,L004,Private,1,ADM05522,Occupied,2024-07-07
R00330,L001,Private,1,ADM05334,Occupied,2024-09-16
R00331,L001,General,4,ADM00714,Occupied,2024-09-19
R00332,L004,ICU,1,ADM02298,Vacant,2024-08-16
R00333,L001,Semi-Private,4,ADM05480,Occupied,2024-07-08
R00334,L004,Private,4,ADM09433,Vacant,2024-10-28
R00335,L004,General,1,,Occupied,2024-09-18
R00336,L001,Private,4,ADM03884,Occupied,2025-03-04
R00337,L001,Semi-Private,2,ADM09086,Occupied,2024-12-06
R00338,L004,General,2,ADM01680,Occupied,2024-09-14
R00339,L002,Semi-Private,2,,Vacant,2024-08-21
R00340,L004,Semi-Private,4,ADM03888,Occupied,2025-04-12
R00341,L003,Semi-Private,4,ADM06797,Occupied,2024-05-30
R00342,L001,General,1,ADM07562,Vacant,2025-01-11
R00343,L001,ICU,1,ADM05445,Occupied,2025-01-14
R00344,L004,General,4,ADM01161,Occupied,2024-12-06
R00345,L003,General,1,ADM08914,Vacant,2024-11-11
R00346,L004,Semi-Private,1,ADM08758,Occupied,2024-12-03
R00347,L004,ICU,2,ADM08826,Occupied,2025-03-08
R00348,L004,General,4,ADM04416,Occupied,2024-07-31
R00349,L001,ICU,2,ADM06359,Occupied,2025-02-06
R00350,L004,Semi-Private,2,,Occupied,2025-01-23
R00351,L004,Semi-Private,2,ADM04396,Occupied,2024-12-23
R00352,L005,General,1,ADM01589,Occupied,2024-12-26
R00353,L004,Private,2,ADM01781,Occupied,2024-06-22
R00354,L005,Private,2,ADM00101,Occupied,2024-08-21
R00355,L002,General,1,ADM04183,Occupied,2024-06-07
R00356,L001,ICU,1,,Occupied,2024-05-06
R00357,L003,Semi-Private,4,,Occupied,2024-08-17
R00358,L002,ICU,2,,Occupied,2024-06-01
R00359,L004,Semi-Private,1,ADM09342,Occupied,2025-03-11
R00360,L005,Semi-Private,1,ADM09402,Occupied,2025-03-22
R00361,L003,Semi-Private,1,ADM05177,Occupied,2024-11-06
R00362,L002,Private,2,ADM02587,Occupied,2025-02-15
R00363,L001,General,2,ADM04776,Occupied,2025-04-02
R00364,L005,ICU,4,ADM07349,Occupied,2025-01-20
R00365,L003,General,1,ADM04866,Occupied,2025-02-23
R00366,L001,Private,1,,Occupied,2025-02-18
R00367,L002,Semi-Private,2,ADM01047,Occupied,2024-05-28
R00368,L001,General,2,ADM07044,Occupied,2024-09-29
R00369,L002,Private,4,ADM01617,Occupied,2025-02-07
R00370,L005,Semi-Private,1,ADM02450,Occupied,2025-03-26
R00371,L004,ICU,2,ADM02810,Occupied,2024-05-18
R00372,L004,Private,1,ADM02825,Occupied,2024-10-04
R00373,L002,ICU,2,ADM02942,Occupied,2025-02-23
R00374,L005,Private,2,,Occupied,2024-07-18
R00375,L003,Private,1,ADM07600,Occupied,2024-11-15
R00376,L002,General,2,ADM01454,Vacant,2024-09-15
R00377,L003,Semi-Private,1,ADM03748,Occupied,2024-05-02
R00378,L002,ICU,2,ADM07045,Occupied,2024-06-14
R00379,L005,General,4,ADM06902,Occupied,2024-12-02
R00380,L002,Semi-Private,4,,Vacant,2024-09-30
R00381,L004,Private,4,ADM04511,Occupied,2024-08-13
R00382,L003,Private,2,ADM06214,Occupied,2024-12-14
R00383,L003,Semi-Private,4,ADM01589,Occupied,2024-05-14
R00384,L001,Private,1,,Occupied,2025-01-29
R00385,L001,Semi-Private,2,ADM09830,Vacant,2024-06-07
R00386,L002,ICU,1,ADM06350,Occupied,2025-03-17
R00387,L001,General,2,ADM01987,Occupied,2024-12-01
R00388,L001,General,1,ADM07838,Occupied,2025-03-20
R00389,L003,Semi-Private,2,ADM06595,Occupied,2024-09-21
R00390,L003,ICU,2,,Occupied,2024-07-02
R00391,L002,General,4,,Occupied,2024-11-02
R00392,L004,ICU,4,ADM00907,Occupied,2024-09-24
R00393,L005,ICU,4,ADM09750,Occupied,2024-07-20
R00394,L005,Private,4,ADM09988,Occupied,2024-10-09
R00395,L005,Semi-Private,1,ADM03469,Occupied,2024-07-20
R00396,L002,Private,1,ADM00689,Occupied,2024-05-03
R00397,L002,Semi-Private,4,ADM06249,Occupied,2024-12-19
R00398,L004,ICU,4,,Occupied,2024-07-05
R00399,L002,ICU,2,ADM02266,Occupied,2024-10-13
R00400,L002,General,2,ADM01352,Occupied,2025-03-09
R00401,L004,General,2,ADM04694,Vacant,2024-09-01
R00402,L005,ICU,2,ADM06509,Occupied,2024-06-02
R00403,L005,ICU,1,ADM09170,Vacant,2024-05-25
R00404,L003,Semi-Private,2,ADM00343,Occupied,2024-12-29
R00405,L004,Private,2,ADM04064,Occupied,2024-11-21
R00406,L002,General,4,,Occupied,2024-06-21
R00407,L002,General,1,ADM04578,Vacant,2024-08-06
R00408,L003,Semi-Private,2,ADM06059,Occupied,2025-03-13
R00409,L001,Semi-Private,4,ADM06906,Occupied,2024-11-15
R00410,L005,Semi-Private,1,ADM06697,Occupied,2024-11-11
R00411,L004,Semi-Private,4,ADM07906,Occupied,2024-10-10
R00412,L005,Semi-Private,1,,Vacant,2024-05-23
R00413,L005,Private,1,ADM07425,Occupied,2024-11-22
R00414,L004,ICU,1,ADM09324,Occupied,2024-05-26
R00415,L002,Semi-Private,2,ADM05446,Occupied,2024-09-02
R00416,L004,General,4,ADM09903,Occupied,2024-05-29
R00417,L002,Private,2,ADM09771,Occupied,2024-08-07
R00418,L002,General,1,ADM06351,Occupied,2024-06-28
R00419,L004,ICU,1,,Occupied,2024-07-23
R00420,L003,ICU,1,,Occupied,2024-05-03
R00421,L002,General,2,,Vacant,2024-06-13
R00422,L004,ICU,2,ADM01623,Occupied,2025-03-25
R00423,L004,Private,1,,Occupied,2025-01-17
R00424,L002,ICU,4,ADM04663,Vacant,2025-02-28
R00425,L002,ICU,1,ADM00427,Occupied,2024-11-05
R00426,L002,Private,1,ADM07071,Occupied,2025-01-11
R00427,L003,Private,2,ADM02208,Vacant,2024-05-17
R00428,L001,Semi-Private,2,,Vacant,2024-06-22
R00429,L003,Semi-Private,2,ADM00841,Occupied,2025-01-19
R00430,L002,General,2,ADM07175,Vacant,2024-11-27
R00431,L002,ICU,4,ADM05708,Occupied,2024-11-03
R00432,L001,Semi-Private,2,ADM00273,Occupied,2024-05-04
R00433,L002,General,1,ADM05540,Occupied,2024-09-10
R00434,L002,General,4,,Occupied,2025-01-05
R00435,L001,ICU,4,,Occupied,2024-06-29
R00436,L004,ICU,4,,Occupied,2024-05-21
R00437,L005,ICU,2,ADM01536,Vacant,2025-02-23
R00438,L004,ICU,4,,Occupied,2024-10-15
R00439,L005,Private,1,,Occupied,2024-12-17
R00440,L005,General,4,,Vacant,2024-05-11
R00441,L002,Private,2,ADM03460,Occupied,2024-06-05
R00442,L002,Private,1,,Occupied,2024-09-02
R00443,L002,Semi-Private,2,ADM04128,Occupied,2024-11-22
R00444,L002,ICU,1,ADM09970,Occupied,2024-04-26
R00445,L002,ICU,4,ADM03429,Occupied,2024-11-03
R00446,L001,General,1,ADM09798,Occupied,2024-08-19
R00447,L005,Semi-Private,4,ADM01258,Vacant,2025-03-06
R00448,L002,General,1,,Occupied,2025-03-10
R00449,L005,Semi-Private,2,ADM09392,Occupied,2024-06-13
R00450,L002,General,4,,Occupied,2024-11-08
R00451,L002,General,4,ADM02100,Occupied,2024-09-29
R00452,L005,Private,1,ADM02567,Occupied,2025-02-11
R00453,L002,General,1,,Occupied,2025-03-25
R00454,L005,ICU,4,ADM00873,Vacant,2024-12-22
R00455,L001,Private,1,ADM06876,Occupied,2024-08-26
R00456,L001,ICU,4,ADM05109,Occupied,2024-06-01
R00457,L005,Private,4,ADM05422,Occupied,2024-06-03
R00458,L001,ICU,1,ADM09909,Occupied,2024-12-06
R00459,L002,ICU,2,ADM04645,Occupied,2024-05-25
R00460,L003,Private,4,ADM00678,Occupied,2025-03-19
R00461,L003,Private,1,ADM00271,Vacant,2024-05-01
R00462,L003,General,2,ADM04940,Occupied,2024-12-23
R00463,L001,Semi-Private,1,ADM03259,Occupied,2024-11-05
