Hike_ID,Staff_ID,Hike_Date,Previous_Salary,New_Salary,Reason,Location_ID
H0256,S0056,2020-09-22,40599,43230,Annual Review,L004
H0257,S0485,2020-07-22,181035,207837,Annual Review,L001
H0258,S0168,2024-10-02,130465,144475,Promotion,L004
H0259,S0103,2023-08-14,40042,47509,Annual Review,L004
H0260,S0168,2025-04-12,158713,176990,Promotion,L003
H0261,S0373,2023-08-20,37506,41480,Performance Bonus,L001
H0262,S0281,2024-11-04,161376,172707,Performance Bonus,L005
H0263,S0164,2023-02-13,89542,105025,Promotion,L002
H0264,S0096,2023-09-12,144457,167867,Promotion,L001
H0265,S0253,2022-02-14,41277,49253,Cost of Living Adjustment,L003
H0266,S0277,2020-06-07,80528,89884,Annual Review,L005
H0267,S0242,2023-11-19,160032,173571,Cost of Living Adjustment,L005
H0268,S0282,2021-12-30,92329,102946,Annual Review,L002
H0269,S0078,2025-03-24,134206,152861,Performance Bonus,L003
H0270,S0153,2022-12-07,141495,162899,Annual Review,L001
H0271,S0424,2022-04-29,38862,41342,Promotion,L004
H0272,S0368,2023-01-04,79129,93048,Cost of Living Adjustment,L004
H0273,S0168,2022-06-13,165935,183238,Performance Bonus,L003
H0274,S0237,2025-02-17,176140,197259,Performance Bonus,L001
H0275,S0111,2025-01-29,120965,144327,Annual Review,L002
H0276,S0241,2023-01-25,148880,168347,Performance Bonus,L004
H0277,S0287,2024-09-04,154672,166607,Annual Review,L004
H0278,S0013,2023-12-04,30836,32796,Promotion,L004
H0279,S0178,2022-03-16,118993,129572,Cost of Living Adjustment,L005
H0280,S0232,2021-05-11,91867,97272,Performance Bonus,L004
H0281,S0336,2021-06-25,157873,171071,Promotion,L001
H0282,S0317,2022-05-21,166236,197616,Performance Bonus,L005
H0283,S0389,2020-11-15,115479,125560,Cost of Living Adjustment,L001
H0284,S0280,2024-05-21,108976,124192,Cost of Living Adjustment,L001
H0285,S0097,2022-03-27,134608,154462,Promotion,L003
H0286,S0412,2020-12-08,138431,165303,Cost of Living Adjustment,L002
H0287,S0272,2020-09-29,182631,193972,Performance Bonus,L002
H0288,S0267,2021-05-06,52782,58063,Promotion,L001
H0289,S0361,2024-11-01,88218,94270,Promotion,L005
H0290,S0249,2021-06-16,99347,113512,Annual Review,L005
H0291,S0488,2021-06-19,33040,36902,Cost of Living Adjustment,L003
H0292,S0433,2024-05-29,26523,31319,Promotion,L002
H0293,S0500,2022-04-20,153598,166247,Promotion,L004
H0294,S0434,2024-08-23,48199,51935,Performance Bonus,L002
H0295,S0473,2024-12-02,121360,133635,Promotion,L005
H0296,S0375,2024-10-23,140255,159520,Annual Review,L003
H0297,S0014,2022-05-17,78905,92921,Promotion,L004
H0298,S0406,2022-04-02,120859,138139,Promotion,L005
H0299,S0036,2024-05-02,47276,50803,Cost of Living Adjustment,L005
H0300,S0138,2024-05-03,144384,158810,Promotion,L002
H0301,S0395,2020-07-12,107382,116754,Promotion,L004
H0302,S0058,2023-05-31,35803,42299,Cost of Living Adjustment,L001
H0303,S0460,2022-03-01,122417,130923,Performance Bonus,L001
H0304,S0409,2020-11-09,115551,128541,Cost of Living Adjustment,L003
H0305,S0169,2024-08-11,53600,63693,Annual Review,L003
H0306,S0235,2022-12-05,63516,69686,Annual Review,L003
H0307,S0495,2024-03-22,124447,143131,Cost of Living Adjustment,L001
H0308,S0170,2024-03-15,146106,170156,Annual Review,L005
H0309,S0449,2023-03-23,70713,74645,Cost of Living Adjustment,L004
H0310,S0202,2023-06-15,161382,186250,Cost of Living Adjustment,L002
H0311,S0028,2023-12-06,117860,137656,Cost of Living Adjustment,L003
H0312,S0313,2021-03-06,128505,152020,Promotion,L005
H0313,S0296,2023-06-26,26908,31959,Promotion,L001
H0314,S0302,2024-05-26,145875,170373,Cost of Living Adjustment,L002
H0315,S0137,2022-09-17,102515,118248,Promotion,L002
H0316,S0426,2022-04-07,68941,73951,Promotion,L005
H0317,S0381,2021-04-02,95363,107177,Performance Bonus,L005
H0318,S0237,2021-09-16,52989,58616,Cost of Living Adjustment,L005
H0319,S0084,2023-08-20,184852,219211,Performance Bonus,L003
H0320,S0223,2020-08-09,83643,96970,Promotion,L001
H0321,S0257,2023-08-04,55564,65948,Promotion,L001
H0322,S0016,2024-07-10,152992,180033,Performance Bonus,L001
H0323,S0446,2021-10-06,26380,27962,Promotion,L004
H0324,S0091,2024-04-09,27128,30810,Cost of Living Adjustment,L003
H0325,S0073,2022-09-25,101408,113366,Performance Bonus,L003
H0326,S0456,2020-06-14,75620,84075,Annual Review,L001
H0327,S0496,2020-12-01,77063,81220,Annual Review,L001
H0328,S0183,2023-04-10,97063,107487,Performance Bonus,L004
H0329,S0037,2023-10-23,85043,93951,Annual Review,L001
H0330,S0043,2021-07-08,174104,205122,Cost of Living Adjustment,L001
H0331,S0433,2023-05-18,157818,184142,Performance Bonus,L002
H0332,S0215,2025-04-10,174306,200719,Annual Review,L002
H0333,S0384,2024-09-01,27649,29390,Cost of Living Adjustment,L005
H0334,S0011,2022-01-04,130630,140769,Performance Bonus,L002
H0335,S0037,2020-08-16,135296,158695,Performance Bonus,L005
H0336,S0271,2024-10-03,52448,60344,Promotion,L002
H0337,S0130,2024-12-24,123193,145945,Cost of Living Adjustment,L004
H0338,S0217,2021-09-07,132210,151074,Promotion,L005
H0339,S0431,2022-10-08,68564,72995,Performance Bonus,L004
H0340,S0276,2020-07-20,182341,216269,Cost of Living Adjustment,L002
H0341,S0295,2022-09-05,98685,116188,Annual Review,L001
H0342,S0311,2023-01-17,158730,178207,Annual Review,L003
H0343,S0357,2023-07-10,138915,151103,Promotion,L001
H0344,S0163,2024-01-13,49924,57235,Annual Review,L004
H0345,S0121,2025-03-25,156727,174052,Promotion,L003
H0346,S0486,2020-11-04,157432,188525,Performance Bonus,L003
H0347,S0480,2020-08-13,171045,182256,Cost of Living Adjustment,L003
H0348,S0137,2020-11-05,130126,142057,Cost of Living Adjustment,L004
H0349,S0317,2024-12-12,115070,122358,Promotion,L003
H0350,S0305,2024-01-20,151059,179306,Annual Review,L002
H0351,S0018,2022-08-24,71561,84743,Performance Bonus,L001
H0352,S0431,2023-07-09,74254,84277,Performance Bonus,L004
H0353,S0108,2022-11-05,35430,40010,Annual Review,L003
H0354,S0098,2024-06-28,69731,73791,Performance Bonus,L002
H0355,S0039,2021-08-04,53301,61117,Annual Review,L004
H0356,S0372,2024-05-08,35861,38487,Cost of Living Adjustment,L003
H0357,S0400,2022-06-23,151763,165976,Performance Bonus,L004
H0358,S0350,2020-09-12,101394,108631,Performance Bonus,L005
H0359,S0060,2023-07-05,40240,45010,Cost of Living Adjustment,L001
H0360,S0465,2021-05-06,28086,30987,Performance Bonus,L003
H0361,S0219,2024-07-27,143810,167669,Performance Bonus,L005
H0362,S0171,2024-02-24,35541,42402,Cost of Living Adjustment,L002
H0363,S0436,2020-12-31,102814,114755,Cost of Living Adjustment,L005
H0364,S0274,2022-11-21,48673,55046,Annual Review,L005
H0365,S0441,2020-05-20,95031,111352,Annual Review,L001
H0366,S0399,2022-08-18,183233,206595,Promotion,L003
H0367,S0222,2021-01-11,76610,85477,Promotion,L002
H0368,S0417,2022-06-10,140482,152357,Annual Review,L004
H0369,S0137,2022-01-23,162064,176588,Cost of Living Adjustment,L001
H0370,S0239,2023-09-26,188193,214449,Cost of Living Adjustment,L001
H0371,S0250,2025-02-02,66444,73739,Annual Review,L005
H0372,S0383,2024-09-03,108590,123688,Promotion,L002
H0373,S0378,2022-04-29,48948,57324,Promotion,L002
H0374,S0207,2024-08-12,147179,175289,Promotion,L002
H0375,S0403,2022-11-06,27880,29992,Promotion,L002
H0376,S0487,2023-07-11,55060,62933,Annual Review,L005
H0377,S0078,2022-10-22,176893,195440,Performance Bonus,L004
H0378,S0333,2021-03-31,118403,126490,Performance Bonus,L002
H0379,S0464,2024-10-23,27246,29891,Annual Review,L001
H0380,S0285,2023-07-16,162653,171874,Performance Bonus,L001
H0381,S0444,2024-09-24,129457,148042,Performance Bonus,L003
H0382,S0246,2021-12-30,144963,171271,Promotion,L001
H0383,S0059,2024-01-10,87324,101967,Performance Bonus,L003
H0384,S0210,2024-10-15,151998,165169,Promotion,L001
H0385,S0377,2024-04-15,148995,165243,Annual Review,L003
H0386,S0472,2022-07-01,146541,172954,Promotion,L002
H0387,S0022,2020-06-28,29249,31139,Annual Review,L001
H0388,S0007,2023-07-18,78564,87081,Promotion,L003
H0389,S0362,2021-12-03,187128,205490,Performance Bonus,L004
H0390,S0220,2020-06-05,187261,207454,Cost of Living Adjustment,L003
H0391,S0164,2022-02-13,158376,174942,Promotion,L005
H0392,S0019,2023-03-11,133889,144162,Promotion,L003
H0393,S0096,2023-07-18,187543,205349,Annual Review,L003
H0394,S0128,2023-03-10,43548,46858,Cost of Living Adjustment,L002
H0395,S0273,2024-02-27,99011,112531,Cost of Living Adjustment,L005
H0396,S0098,2022-03-15,138328,160289,Annual Review,L001
H0397,S0282,2023-10-20,75874,82815,Annual Review,L003
H0398,S0103,2020-09-21,186879,218690,Performance Bonus,L005
H0399,S0228,2023-03-17,91764,97698,Performance Bonus,L002
H0400,S0057,2022-03-14,153599,178017,Annual Review,L001
H0401,S0238,2023-05-24,153922,174067,Performance Bonus,L002
H0402,S0366,2023-08-04,153601,170204,Promotion,L001
H0403,S0030,2025-04-09,40149,45973,Promotion,L005
H0404,S0130,2025-01-09,53535,58730,Performance Bonus,L004
H0405,S0088,2024-03-01,103477,118955,Promotion,L001
H0406,S0038,2021-01-31,91559,107711,Cost of Living Adjustment,L005
H0407,S0220,2020-10-10,37685,42509,Promotion,L002
H0408,S0046,2023-07-12,61812,67905,Cost of Living Adjustment,L003
H0409,S0423,2024-08-21,113204,126609,Cost of Living Adjustment,L005
H0410,S0187,2023-06-19,128483,150156,Performance Bonus,L004
H0411,S0251,2022-07-07,66581,77243,Annual Review,L001
H0412,S0088,2023-10-05,169090,201179,Promotion,L004
H0413,S0111,2024-11-20,95212,113735,Performance Bonus,L003
H0414,S0164,2024-08-02,181599,205450,Promotion,L002
H0415,S0216,2020-12-27,131416,155225,Annual Review,L005
H0416,S0333,2021-01-28,30169,35993,Performance Bonus,L002
H0417,S0266,2020-08-25,114655,123215,Performance Bonus,L004
H0418,S0047,2021-05-10,130744,138563,Performance Bonus,L003
H0419,S0310,2022-01-30,49989,52803,Annual Review,L005
H0420,S0368,2021-07-09,28119,31943,Promotion,L005
H0421,S0149,2021-03-07,113218,125582,Performance Bonus,L003
H0422,S0475,2024-09-04,119373,140809,Promotion,L001
H0423,S0236,2023-05-12,65204,71946,Cost of Living Adjustment,L005
H0424,S0327,2021-01-10,34808,39262,Cost of Living Adjustment,L005
H0425,S0002,2020-11-02,140699,158426,Annual Review,L003
H0426,S0416,2020-07-18,182167,212195,Cost of Living Adjustment,L003
H0427,S0274,2023-12-16,63207,70281,Annual Review,L005
H0428,S0119,2024-12-22,30904,34283,Annual Review,L005
H0429,S0391,2024-08-17,39664,44118,Promotion,L004
H0430,S0493,2020-11-25,32707,35585,Cost of Living Adjustment,L005
H0431,S0369,2024-07-09,110110,126671,Cost of Living Adjustment,L002
H0432,S0023,2022-09-05,125676,147466,Performance Bonus,L005
H0433,S0299,2022-07-27,93685,111794,Annual Review,L005
H0434,S0154,2023-09-09,42456,49648,Performance Bonus,L002
H0435,S0025,2024-04-08,180023,214917,Performance Bonus,L005
H0436,S0282,2021-03-25,69949,76639,Performance Bonus,L004
H0437,S0015,2022-05-02,96776,113869,Promotion,L001
H0438,S0336,2021-10-19,134861,151396,Promotion,L002
H0439,S0320,2021-01-17,42491,47702,Cost of Living Adjustment,L004
H0440,S0266,2022-07-31,106061,114522,Cost of Living Adjustment,L003
