Room_ID,Location_ID,Room_Type,Capacity,Admission_ID,Occupancy_Status,Last_Cleaned
R00080,D005,ICU,4,ADM03298,Occupied,2024-12-13
R00081,D002,General,4,,Occupied,2025-02-11
R00082,D007,Semi-Private,2,,Vacant,2024-05-08
R00083,D004,Semi-Private,4,ADM03077,Occupied,2025-02-03
R00084,D007,ICU,1,ADM00771,Occupied,2025-03-15
R00085,D006,Semi-Private,2,ADM00311,Occupied,2024-06-06
R00086,D004,General,2,ADM07122,Vacant,2024-09-01
R00087,D005,Private,1,ADM03942,Occupied,2025-03-05
R00088,D004,Private,1,ADM06385,Occupied,2025-03-29
R00089,D005,General,1,ADM02433,Occupied,2024-10-04
R00090,D003,Private,4,ADM06059,Occupied,2024-11-28
R00091,D002,Private,4,ADM06248,Occupied,2025-03-21
R00092,D003,Semi-Private,2,ADM01598,Occupied,2024-06-13
R00093,D005,General,4,ADM02202,Occupied,2024-05-04
R00094,D007,Semi-Private,1,,Occupied,2024-11-09
R00095,D007,ICU,1,ADM05506,Occupied,2025-01-05
R00096,D003,Semi-Private,4,ADM05126,Vacant,2024-05-24
R00097,D002,Semi-Private,1,ADM00202,Occupied,2024-05-24
R00098,D006,General,2,ADM02668,Occupied,2024-08-13
R00099,D008,ICU,1,ADM02455,Occupied,2025-04-19
R00100,D003,Semi-Private,4,ADM06210,Vacant,2025-04-18
R00101,D005,ICU,4,,Occupied,2024-09-21
R00102,D001,Private,4,ADM05474,Occupied,2025-02-06
R00103,D004,General,4,ADM07673,Occupied,2025-02-03
R00104,D008,Private,4,,Occupied,2025-03-11
R00105,D001,ICU,4,ADM08421,Occupied,2024-10-04
R00106,D007,Private,1,ADM02736,Occupied,2024-06-09
R00107,D005,General,2,ADM05589,Occupied,2024-12-15
R00108,D005,ICU,1,ADM01852,Occupied,2024-12-04
R00109,D005,ICU,2,ADM07679,Occupied,2024-12-14
R00110,D002,Private,4,ADM05791,Occupied,2024-07-21
R00111,D006,General,2,,Occupied,2024-07-09
R00112,D008,General,4,ADM01248,Occupied,2025-01-28
R00113,D001,Semi-Private,1,ADM06687,Occupied,2024-11-10
R00114,D004,Semi-Private,2,ADM00301,Vacant,2025-03-04
R00115,D005,ICU,2,ADM09325,Occupied,2024-06-15
R00116,D004,ICU,2,ADM09019,Vacant,2024-08-29
R00117,D005,ICU,2,ADM00649,Occupied,2025-03-06
R00118,D008,Semi-Private,2,ADM04593,Occupied,2024-12-19
R00119,D007,Semi-Private,2,ADM05178,Occupied,2024-05-29
R00120,D008,Semi-Private,4,ADM02908,Occupied,2024-12-07
R00121,D005,General,4,ADM06706,Occupied,2024-06-08
R00122,D007,ICU,4,ADM06694,Occupied,2024-09-28
R00123,D001,General,1,ADM08673,Occupied,2024-12-14
R00124,D003,ICU,2,ADM02913,Occupied,2025-02-12
R00125,D003,General,2,ADM08526,Vacant,2024-09-13
R00126,D007,Private,2,ADM08742,Occupied,2025-04-11
R00127,D001,General,1,ADM08100,Occupied,2024-12-01
R00128,D004,General,2,,Occupied,2025-01-17
R00129,D007,Semi-Private,1,ADM00063,Occupied,2024-11-30
R00130,D005,General,2,ADM06926,Occupied,2024-12-17
R00131,D004,Semi-Private,4,,Occupied,2024-06-27
R00132,D007,Semi-Private,4,ADM02230,Occupied,2024-12-22
R00133,D004,General,4,ADM04110,Occupied,2024-07-24
R00134,D001,ICU,1,ADM01830,Occupied,2024-12-16
R00135,D005,ICU,4,ADM02971,Occupied,2024-05-06
R00136,D003,Private,4,ADM06555,Occupied,2025-01-25
R00137,D003,Private,1,,Vacant,2025-01-13
R00138,D001,ICU,2,ADM04558,Occupied,2025-02-06
R00139,D006,ICU,1,ADM03902,Occupied,2024-08-20
R00140,D002,ICU,2,ADM05336,Occupied,2025-03-25
R00141,D005,ICU,2,,Occupied,2025-04-19
R00142,D003,Private,4,ADM02045,Occupied,2025-04-20
R00143,D005,Private,2,ADM06468,Occupied,2025-03-29
R00144,D006,General,1,ADM06878,Occupied,2024-08-09
R00145,D007,Private,2,ADM09354,Occupied,2024-06-29
R00146,D003,ICU,2,,Occupied,2025-04-10
R00147,D002,ICU,1,ADM07178,Occupied,2025-03-18
R00148,D007,Semi-Private,4,ADM01455,Occupied,2025-02-14
R00149,D008,Semi-Private,2,ADM06251,Vacant,2024-10-13
R00150,D008,ICU,2,ADM09943,Occupied,2025-04-12
R00151,D003,ICU,4,ADM09810,Occupied,2024-12-04
R00152,D001,Private,1,ADM08353,Occupied,2024-06-05
R00153,D008,Semi-Private,4,ADM02446,Occupied,2024-11-17
R00154,D003,Semi-Private,4,ADM08145,Occupied,2024-11-11
R00155,D006,ICU,1,ADM09784,Occupied,2025-04-27
R00156,D007,Private,1,ADM06256,Occupied,2025-02-22
R00157,D007,General,1,ADM07372,Occupied,2024-07-11
R00158,D007,ICU,2,ADM08151,Occupied,2024-07-14
R00159,D001,Semi-Private,1,ADM08059,Occupied,2024-08-23
R00160,D005,General,2,ADM03945,Occupied,2024-06-12
R00161,D008,Semi-Private,1,ADM08160,Occupied,2024-06-05
R00162,D006,ICU,2,ADM01778,Occupied,2024-10-20
R00163,D004,General,2,ADM03932,Occupied,2025-01-23
R00164,D005,General,4,ADM08754,Occupied,2025-02-23
R00165,D007,ICU,4,ADM01574,Occupied,2024-09-08
R00166,D004,ICU,2,ADM08509,Occupied,2025-01-18
R00167,D001,General,4,ADM01461,Occupied,2025-03-15
R00168,D006,Semi-Private,2,,Occupied,2024-08-22
R00169,D005,General,2,,Vacant,2024-12-01
R00170,D004,General,4,ADM04684,Occupied,2024-05-15
R00171,D007,Private,1,ADM07911,Occupied,2024-11-08
R00172,D001,Private,4,ADM01620,Occupied,2025-04-19
R00173,D003,Semi-Private,1,ADM00706,Occupied,2024-08-06
R00174,D005,General,4,ADM07309,Occupied,2024-05-20
R00175,D007,Semi-Private,2,ADM06679,Vacant,2024-11-23
R00176,D001,Private,4,ADM01322,Occupied,2024-07-29
R00177,D002,Semi-Private,2,,Occupied,2024-07-18
R00178,D001,Semi-Private,1,,Occupied,2024-06-13
R00179,D001,Semi-Private,1,,Vacant,2024-06-21
R00180,D007,General,2,ADM05218,Occupied,2024-06-12
R00181,D005,Private,4,ADM00441,Occupied,2024-08-18
R00182,D004,Semi-Private,2,,Vacant,2025-03-26
R00183,D004,Semi-Private,4,ADM09778,Vacant,2024-09-01
R00184,D006,General,1,ADM04528,Occupied,2024-10-02
R00185,D002,Private,4,,Vacant,2024-10-12
R00186,D003,ICU,1,ADM09029,Occupied,2024-10-16
R00187,D004,Semi-Private,2,ADM01932,Occupied,2025-03-20
R00188,D008,General,1,ADM02028,Occupied,2025-01-07
R00189,D006,Private,4,ADM03023,Occupied,2024-12-10
R00190,D004,ICU,2,ADM08316,Occupied,2025-04-13
R00191,D006,ICU,2,ADM03297,Occupied,2024-08-25
R00192,D007,ICU,4,,Occupied,2025-03-19
R00193,D004,General,1,,Occupied,2024-11-05
R00194,D002,Private,2,ADM02143,Occupied,2024-09-24
R00195,D001,ICU,2,,Occupied,2024-06-19
R00196,D001,Semi-Private,4,ADM02574,Occupied,2024-09-25
R00197,D008,General,4,ADM09702,Occupied,2025-01-31
R00198,D002,ICU,2,,Occupied,2024-04-29
R00199,D002,Semi-Private,1,ADM04767,Occupied,2024-09-14
R00200,D008,ICU,1,ADM06671,Vacant,2025-01-13
R00201,D003,General,1,,Occupied,2024-08-15
R00202,D005,ICU,4,ADM03727,Occupied,2025-01-11
R00203,D001,Private,4,ADM05801,Occupied,2025-01-21
R00204,D005,General,2,ADM09370,Occupied,2024-11-24
R00205,D004,Semi-Private,4,ADM08924,Occupied,2025-01-01
R00206,D007,Semi-Private,1,ADM06891,Occupied,2024-12-04
R00207,D008,ICU,4,ADM03600,Occupied,2025-01-06
R00208,D007,ICU,1,ADM01532,Vacant,2024-07-07
R00209,D006,Semi-Private,2,ADM01166,Occupied,2025-01-15
R00210,D006,Semi-Private,2,ADM08281,Occupied,2025-01-12
R00211,D001,General,1,ADM09382,Occupied,2024-08-01
R00212,D006,Semi-Private,1,ADM08268,Vacant,2024-08-28
R00213,D003,ICU,4,ADM03090,Occupied,2025-04-04
R00214,D006,ICU,2,ADM09736,Occupied,2024-11-04
R00215,D001,General,2,ADM06923,Occupied,2024-07-31
R00216,D001,Semi-Private,4,ADM08299,Occupied,2025-03-03
R00217,D004,General,4,ADM00941,Occupied,2024-07-02
R00218,D002,Private,1,ADM09150,Occupied,2024-07-13
R00219,D006,Semi-Private,4,ADM04083,Occupied,2025-02-05
R00220,D006,Private,2,ADM04510,Occupied,2025-04-25
R00221,D006,ICU,4,,Occupied,2024-06-08
R00222,D004,Semi-Private,1,ADM05760,Vacant,2025-01-12
R00223,D001,ICU,2,,Occupied,2024-08-30
R00224,D003,Private,1,ADM07558,Occupied,2024-12-09
R00225,D008,Private,1,ADM08400,Occupied,2024-06-12
R00226,D002,General,4,,Occupied,2024-11-25
R00227,D008,Private,1,,Occupied,2024-10-22
R00228,D007,General,1,ADM06971,Occupied,2024-09-30
R00229,D002,ICU,1,ADM06745,Occupied,2024-12-01
R00230,D002,ICU,4,,Occupied,2024-07-10
R00231,D003,Semi-Private,4,ADM02082,Vacant,2025-03-10
R00232,D004,ICU,2,ADM05942,Occupied,2024-06-23
R00233,D004,General,2,,Occupied,2024-08-10
R00234,D005,ICU,1,ADM01992,Occupied,2024-09-08
R00235,D005,Private,2,ADM04244,Vacant,2025-04-07
R00236,D006,Semi-Private,1,ADM05153,Occupied,2024-11-02
R00237,D007,Private,1,ADM03937,Occupied,2025-01-14
R00238,D004,Private,1,ADM08314,Occupied,2024-10-27
R00239,D007,ICU,1,,Occupied,2024-12-04
R00240,D002,General,4,ADM01410,Vacant,2024-11-05
R00241,D001,ICU,2,ADM09053,Occupied,2024-09-27
R00242,D003,ICU,2,ADM00225,Occupied,2025-04-10
R00243,D006,Semi-Private,4,ADM03781,Vacant,2024-08-27
R00244,D008,Private,4,ADM02231,Occupied,2024-06-11
R00245,D006,General,1,,Occupied,2024-05-01
R00246,D004,Semi-Private,1,ADM02820,Occupied,2025-04-03
R00247,D005,Semi-Private,1,ADM08869,Occupied,2024-10-31
R00248,D003,ICU,1,ADM01172,Occupied,2024-11-24
R00249,D004,ICU,2,,Occupied,2024-06-05
R00250,D005,General,4,ADM01382,Occupied,2024-06-27
R00251,D005,Private,1,,Occupied,2025-02-10
R00252,D002,Private,2,ADM09849,Occupied,2024-10-06
R00253,D004,ICU,2,ADM04099,Occupied,2025-04-05
R00254,D006,General,4,ADM06801,Occupied,2024-11-26
R00255,D004,General,1,ADM01125,Occupied,2025-01-26
R00256,D005,ICU,2,,Occupied,2024-11-23
R00257,D003,Private,4,ADM07184,Occupied,2025-01-16
R00258,D008,Private,2,ADM03268,Occupied,2025-02-27
R00259,D004,Private,1,ADM00410,Occupied,2025-03-03
R00260,D004,Semi-Private,1,ADM06627,Occupied,2024-07-16
R00261,D005,ICU,1,,Occupied,2025-04-20
R00262,D008,Semi-Private,1,ADM05850,Occupied,2025-03-14
R00263,D007,General,2,,Occupied,2025-01-11
R00264,D006,General,1,ADM03425,Occupied,2025-03-29
R00265,D002,Private,2,ADM04027,Vacant,2025-04-27
R00266,D004,ICU,2,ADM09454,Occupied,2024-07-16
R00267,D005,Semi-Private,2,ADM01008,Vacant,2024-12-04
R00268,D001,General,1,ADM01365,Occupied,2024-08-01
R00269,D002,Private,2,ADM09127,Occupied,2024-06-09
R00270,D008,Semi-Private,4,ADM03045,Occupied,2024-11-09
R00271,D001,Private,4,ADM08262,Occupied,2024-09-21
R00272,D005,Semi-Private,1,ADM05261,Occupied,2025-04-15
R00273,D008,Semi-Private,1,ADM01521,Vacant,2024-08-11
R00274,D008,Semi-Private,4,ADM03692,Occupied,2025-01-02
R00275,D008,Semi-Private,1,,Occupied,2025-01-30
R00276,D008,General,4,ADM08374,Occupied,2024-05-22
R00277,D007,ICU,4,ADM02085,Occupied,2025-01-22
R00278,D005,Semi-Private,2,,Occupied,2025-04-11
R00279,D005,Semi-Private,2,ADM09696,Occupied,2024-07-04
R00280,D008,ICU,4,ADM07807,Occupied,2024-11-11
R00281,D003,ICU,4,ADM04870,Occupied,2024-05-29
R00282,D006,Private,4,,Occupied,2024-05-04
R00283,D004,Private,1,,Occupied,2024-12-17
R00284,D008,Private,1,ADM00865,Vacant,2025-01-03
R00285,D004,Semi-Private,4,,Occupied,2024-06-10
R00286,D008,ICU,1,ADM04602,Occupied,2024-05-02
R00287,D008,General,2,ADM07340,Vacant,2024-08-20
R00288,D008,General,2,,Occupied,2024-06-20
R00289,D006,ICU,1,ADM07960,Occupied,2025-01-11
R00290,D006,ICU,2,ADM01821,Vacant,2024-09-22
R00291,D001,ICU,2,ADM03013,Vacant,2025-02-23
R00292,D005,Semi-Private,4,ADM01820,Vacant,2024-11-06
R00293,D003,Semi-Private,1,ADM06817,Occupied,2024-09-21
R00294,D008,Private,2,,Occupied,2025-03-26
R00295,D007,General,4,ADM02247,Occupied,2024-08-14
R00296,D005,ICU,1,ADM01508,Occupied,2024-12-12
R00297,D003,Semi-Private,1,,Occupied,2025-04-16
R00298,D003,Private,1,ADM09856,Occupied,2024-07-31
R00299,D004,Private,2,ADM01946,Occupied,2024-08-21
R00300,D003,Private,1,ADM00998,Occupied,2025-03-07
R00301,D006,ICU,2,ADM08452,Vacant,2024-10-29
R00302,D006,Private,2,ADM07424,Occupied,2024-09-01
R00303,D003,Semi-Private,4,ADM08926,Vacant,2024-09-03
R00304,D005,Semi-Private,4,ADM01500,Vacant,2024-09-18
R00305,D007,Private,1,ADM05778,Occupied,2024-10-28
R00306,D008,Semi-Private,2,ADM09041,Occupied,2024-06-10
R00307,D008,Private,1,ADM06944,Occupied,2024-10-21
R00308,D007,ICU,4,ADM03095,Occupied,2024-05-27
R00309,D002,Private,4,,Occupied,2024-12-24
R00310,D005,Semi-Private,1,ADM02762,Occupied,2024-09-02
R00311,D006,General,4,,Occupied,2024-07-16
R00312,D001,Private,4,ADM06313,Occupied,2024-08-29
R00313,D004,Private,2,ADM00004,Occupied,2024-12-04
R00314,D007,Semi-Private,4,ADM07749,Occupied,2024-10-21
R00315,D008,Semi-Private,4,,Occupied,2024-08-22
R00316,D002,General,4,ADM07423,Occupied,2024-09-30
R00317,D006,General,1,ADM00200,Occupied,2024-06-11
R00318,D003,Semi-Private,1,ADM00935,Occupied,2025-04-01
R00319,D008,ICU,1,ADM06429,Occupied,2024-07-08
R00320,D002,ICU,4,ADM04450,Occupied,2024-05-16
R00321,D005,General,2,ADM08011,Occupied,2024-08-21
R00322,D001,Semi-Private,1,ADM07121,Occupied,2024-10-26
R00323,D003,ICU,4,,Occupied,2024-07-12
R00324,D003,Private,1,ADM01477,Occupied,2025-01-26
R00325,D001,Private,1,ADM09755,Occupied,2025-02-25
R00326,D008,General,2,ADM01690,Occupied,2024-07-07
R00327,D003,Semi-Private,4,ADM06956,Vacant,2024-11-14
R00328,D001,Private,1,,Vacant,2024-11-30
R00329,D001,Semi-Private,4,ADM09935,Occupied,2025-01-27
R00330,D007,Private,4,ADM06118,Occupied,2024-08-07
R00331,D005,General,2,ADM03147,Occupied,2024-06-19
R00332,D007,Semi-Private,1,ADM01282,Occupied,2024-09-13
R00333,D004,ICU,2,ADM01993,Vacant,2024-08-18
R00334,D001,Private,2,ADM07839,Occupied,2024-09-26
R00335,D007,Semi-Private,4,ADM02937,Occupied,2024-09-23
R00336,D007,ICU,1,ADM07023,Occupied,2024-07-06
R00337,D001,General,2,,Vacant,2024-06-10
R00338,D003,General,1,ADM09882,Occupied,2024-08-02
R00339,D005,Semi-Private,1,ADM03250,Vacant,2024-10-26
R00340,D006,General,2,ADM07263,Occupied,2024-10-22
R00341,D001,ICU,1,ADM03526,Occupied,2025-04-10
R00342,D007,ICU,1,,Vacant,2024-07-22
R00343,D007,ICU,2,ADM09266,Occupied,2024-07-04
R00344,D002,Private,1,ADM05532,Occupied,2024-05-06
R00345,D001,General,4,,Occupied,2024-08-02
R00346,D005,General,2,,Occupied,2025-04-28
R00347,D001,Semi-Private,2,ADM05870,Occupied,2025-01-02
R00348,D006,General,4,ADM00942,Occupied,2024-12-29
R00349,D002,Private,2,ADM09170,Occupied,2024-11-08
R00350,D003,ICU,4,ADM05666,Occupied,2024-09-14
R00351,D007,Private,4,,Occupied,2025-01-24
R00352,D007,General,4,ADM02894,Occupied,2025-03-12
R00353,D006,Semi-Private,4,,Occupied,2024-11-05
R00354,D006,ICU,1,,Occupied,2024-11-19
R00355,D001,General,4,ADM01872,Occupied,2024-04-29
R00356,D007,General,2,ADM07334,Occupied,2024-05-17
R00357,D007,ICU,2,ADM03205,Occupied,2025-04-10
R00358,D002,Semi-Private,4,ADM07462,Occupied,2024-08-10
R00359,D007,Semi-Private,1,,Occupied,2025-01-14
R00360,D004,General,1,,Vacant,2024-07-01
R00361,D003,ICU,4,,Vacant,2024-05-24
R00362,D007,ICU,1,ADM06720,Occupied,2024-11-16
R00363,D004,Semi-Private,4,ADM00045,Occupied,2025-02-16
R00364,D006,Private,2,ADM09669,Occupied,2024-10-01
R00365,D005,General,4,ADM02374,Occupied,2025-03-28
R00366,D001,General,1,ADM04184,Vacant,2024-08-08
R00367,D008,General,1,ADM05391,Occupied,2024-08-13
R00368,D004,ICU,4,ADM07308,Occupied,2024-11-29
R00369,D004,Private,1,ADM05512,Occupied,2024-11-24
R00370,D003,General,2,ADM00388,Occupied,2024-07-08
R00371,D003,Private,4,,Vacant,2024-05-11
R00372,D002,Semi-Private,1,,Occupied,2024-12-02
R00373,D007,Private,1,ADM01452,Occupied,2024-10-17
R00374,D006,ICU,1,ADM05626,Occupied,2025-02-04
R00375,D003,Private,2,ADM02807,Occupied,2024-06-14
R00376,D008,Private,1,ADM02185,Occupied,2024-08-14
R00377,D004,ICU,1,ADM09746,Occupied,2025-01-12
R00378,D001,ICU,1,ADM04937,Occupied,2025-04-05
R00379,D005,General,2,ADM05133,Occupied,2025-01-21
R00380,D007,Private,2,ADM08437,Occupied,2024-07-01
R00381,D002,Semi-Private,2,ADM09118,Occupied,2024-11-23
R00382,D008,ICU,1,ADM09748,Occupied,2024-06-24
R00383,D008,Private,1,ADM02304,Occupied,2024-12-08
R00384,D001,ICU,2,ADM03223,Occupied,2025-03-25
R00385,D003,ICU,4,,Vacant,2024-11-09
R00386,D005,Private,4,ADM02212,Occupied,2024-09-05
R00387,D005,ICU,1,ADM04030,Occupied,2024-11-14
R00388,D008,Semi-Private,2,ADM01056,Occupied,2025-04-23
R00389,D006,Semi-Private,1,ADM01571,Occupied,2024-12-19
R00390,D006,Private,2,ADM00134,Occupied,2024-09-20
R00391,D003,Semi-Private,1,ADM02749,Occupied,2024-12-16
R00392,D007,General,2,ADM05400,Occupied,2024-05-09
R00393,D008,Semi-Private,1,ADM06390,Occupied,2024-12-21
R00394,D007,Semi-Private,1,ADM03372,Occupied,2024-07-29
R00395,D006,Private,2,,Vacant,2024-09-01
R00396,D003,General,1,ADM01121,Occupied,2025-02-28
R00397,D006,Private,1,,Occupied,2024-11-26
R00398,D001,Semi-Private,1,,Occupied,2025-02-26
R00399,D002,ICU,4,ADM02943,Occupied,2024-07-16
R00400,D008,General,2,ADM02915,Occupied,2025-04-13
R00401,D004,ICU,2,ADM05868,Vacant,2024-11-11
R00402,D004,ICU,2,ADM01885,Occupied,2024-10-03
R00403,D006,Private,2,ADM03500,Occupied,2024-06-11
R00404,D001,ICU,1,ADM07490,Occupied,2024-12-21
R00405,D004,Semi-Private,4,ADM01670,Occupied,2024-08-03
R00406,D004,General,4,ADM03925,Occupied,2024-05-26
R00407,D005,Semi-Private,4,ADM08273,Occupied,2024-07-25
R00408,D006,ICU,4,ADM03536,Occupied,2024-06-28
R00409,D002,Semi-Private,1,ADM04335,Occupied,2024-12-06
R00410,D002,Private,2,ADM06180,Vacant,2025-01-10
R00411,D002,ICU,1,ADM05451,Occupied,2024-10-13
R00412,D007,Semi-Private,1,ADM08454,Vacant,2024-07-19
R00413,D006,General,2,ADM08042,Vacant,2024-12-03
R00414,D001,General,1,ADM09371,Occupied,2025-02-03
R00415,D008,ICU,1,ADM03075,Vacant,2025-04-03
R00416,D001,General,2,ADM09390,Occupied,2024-09-12
R00417,D004,Private,2,,Occupied,2024-06-14
R00418,D006,Semi-Private,1,ADM06755,Occupied,2024-08-02
R00419,D002,ICU,2,ADM09357,Occupied,2024-12-29
R00420,D005,General,2,ADM08627,Occupied,2024-09-24
R00421,D005,ICU,4,,Occupied,2025-01-19
R00422,D002,ICU,1,ADM03173,Occupied,2025-01-16
R00423,D008,General,4,ADM05604,Occupied,2024-10-07
R00424,D003,Private,2,ADM01293,Occupied,2025-01-31
R00425,D005,Semi-Private,2,,Occupied,2024-05-17
R00426,D002,Semi-Private,2,ADM01081,Occupied,2024-09-21
R00427,D002,ICU,2,ADM06778,Occupied,2025-02-09
R00428,D006,ICU,4,ADM09535,Occupied,2024-05-20
R00429,D001,ICU,4,ADM04743,Occupied,2024-09-15
R00430,D006,General,1,ADM02184,Occupied,2024-05-10
R00431,D005,General,4,ADM06301,Vacant,2024-06-23
R00432,D004,Semi-Private,1,ADM05406,Occupied,2025-01-23
R00433,D002,Private,2,ADM03906,Occupied,2024-07-27
R00434,D006,ICU,1,ADM04654,Occupied,2024-10-27
R00435,D007,Private,1,ADM07628,Occupied,2024-07-21
R00436,D007,Semi-Private,2,,Occupied,2024-09-06
R00437,D007,ICU,2,ADM04130,Occupied,2024-05-08
R00438,D002,ICU,2,ADM09381,Occupied,2025-01-06
R00439,D005,Semi-Private,1,ADM09743,Occupied,2025-04-26
R00440,D004,ICU,1,ADM04586,Occupied,2025-02-09
R00441,D007,Semi-Private,4,ADM00306,Occupied,2024-04-30
R00442,D004,Private,1,ADM01994,Vacant,2025-03-14
R00443,D002,General,1,ADM07694,Occupied,2024-12-30
R00444,D002,General,2,,Occupied,2024-05-31
R00445,D002,General,2,,Occupied,2025-04-15
R00446,D005,Semi-Private,2,ADM00106,Vacant,2024-12-13
R00447,D006,General,1,,Occupied,2024-07-21
R00448,D005,ICU,2,ADM08269,Occupied,2025-03-11
R00449,D005,Private,1,,Occupied,2024-05-19
R00450,D004,General,2,ADM01807,Vacant,2024-07-24
R00451,D001,Private,1,ADM00589,Occupied,2025-03-28
R00452,D007,General,4,ADM00849,Occupied,2024-10-04
R00453,D008,General,2,ADM00762,Occupied,2025-03-19
R00454,D007,Semi-Private,4,ADM07065,Vacant,2025-04-10
R00455,D003,Semi-Private,4,ADM01369,Vacant,2024-10-08
R00456,D001,Private,4,ADM09930,Occupied,2024-10-05
R00457,D004,Private,1,ADM01500,Occupied,2024-07-05
R00458,D004,General,1,ADM08104,Occupied,2025-02-04
R00459,D007,General,1,,Occupied,2025-02-22
R00460,D004,Semi-Private,2,,Occupied,2024-06-21
R00461,D003,General,2,ADM02732,Occupied,2024-05-15
R00462,D003,Semi-Private,4,ADM07547,Occupied,2024-08-14
